 timestep, x_true, x_sim, x_da, v_true, v_sim, v_da, obs_data
15.600000000000000,-0.20521176893040438,-0.30574991290394454,-0.23675892130960643,0.35395124439905190,0.28459279106104690,0.35617916257498561,None
15.800000000000001,-0.13468730584130648,-0.24773336603678858,-0.16550858836953156,0.34995880340935820,0.29502463796834821,0.35509404189603222,None
16.000000000000000,-6.5593998850244861E-002,-0.18823531980294217,-9.5132603668244262E-002,0.33940030180686542,0.29912947789226718,0.34717634124630831,None
16.199999999999999,8.0868473199517980E-004,-0.12849604577748383,-2.6947287280212492E-002,0.32285748390769964,0.29719062214148267,0.33297182033403400,None
16.399999999999999,6.3385783740375928E-002,-6.9689338328250153E-002,3.7849101220064435E-002,0.30099491330137684,0.28959247698534174,0.31311699647405372,None
16.600000000000001,0.12114173703354042,-1.2903537280801299E-002,9.8192855519008942E-002,0.27454231726908374,0.27680727929426480,0.28832157811364495,None
16.800000000000001,0.17323171610741389,4.0874701318286841E-002,0.15316775643328417,0.24427667891911026,0.25938088782706381,0.25935048509457109,None
17.000000000000000,0.21896938072887512,9.0773728891027361E-002,0.20201439994426201,0.21100443923018131,0.23791796023754158,0.22700582847403619,None
17.199999999999999,0.25783111222958927,0.13604723047226891,0.24413594516208514,0.17554414827850570,0.21306683886214295,0.19210920212157448,None
17.400000000000002,0.28945684435815117,0.17608152479192246,0.27910037601952931,0.13870987673649574,0.18550445546920619,0.15548461204657635,None
17.600000000000001,0.31364767077448197,0.21039987017152290,0.30663943280673889,0.10129566612015629,0.15592154698544003,0.11794233832658207,None
17.800000000000001,0.33036046058314422,0.23866386442048018,0.32664442536246724,6.4061260115087837E-002,0.12500845142250955,8.0263989479924441E-002,None
18.000000000000000,0.33969975812048292,0.26067207828333172,0.33915918813312179,2.7719320532636264E-002,9.3441726514121845E-002,4.3188971064043992E-002,None
18.199999999999999,0.34190728009402654,0.27635610769846264,0.34437047787735858,-7.0757090581044582E-003,6.1871803685349107E-002,7.4025500960719342E-003,None
18.400000000000002,0.33734935186049281,0.28577426961814173,0.34259614719271558,-3.9736970324369757E-002,3.0911857673678336E-002,-2.6474344512893010E-002,None
18.600000000000001,0.32650264503422149,0.28910319899942438,0.33427145111135143,-6.9752707430118729E-002,1.1280381711350463E-003,-5.7893487069999333E-002,None
18.800000000000001,0.30993859081991110,0.28662763054785750,0.31993385976484368,-9.6691894729822772E-002,-2.6968824987454773E-002,-8.6385828587034086E-002,None
19.000000000000000,0.28830684769590614,0.27872866777182703,0.30020675772452643,-0.12020797403775624,-5.2929966575554516E-002,-0.11156606147854323,None
19.199999999999999,0.26231819871205836,0.26587085391779636,0.27578241040374657,-0.14004073737037501,-7.6373838638333302E-002,-0.13313529635676216,None
19.400000000000002,0.23272724321038576,0.24858836457189437,0.24740457031499533,-0.15601642500896548,-9.6989662366170973E-002,-0.15088190726744666,None
19.600000000000001,0.20031523083740946,0.22747064042002726,0.21585108157863556,-0.16804613937525018,-0.11453940205774812,-0.16468063404119945,None
19.800000000000001,0.16587336299505318,0.20314777125547559,0.18191682055072725,-0.17612270214858355,-0.12885821337768599,-0.17449005918862537,None
20.000000000000000,0.13018685914531861,0.17627592930408642,0.14639728452575704,-0.18031610496957975,-0.13985344474294936,-0.18034860159153218,None
