 timestep, x_true, y_true, z_true, x_sim, y_sim, z_sim, x_da, y_da, z_da, x_obs, y_obs
6.5,10.2731351,5.6511740,34.0008225,-2.3722880,0.7442492,25.6373959,8.5841322,16.0721253,11.7847814,None,None
6.5,7.8708952,3.1909494,31.5761171,-1.2220097,0.3821956,22.3902249,12.7932737,21.6855033,19.9553840,None,None
6.6,5.8053497,2.3389949,28.4792510,-0.6623566,0.0590268,19.5857806,15.2525477,19.0873888,34.1381093,5.68,2.44
6.7,4.4468276,2.4689749,25.4785346,-0.4334641,-0.1903199,17.1425321,15.0757664,10.4666598,40.8337041,None,None
6.7,3.7933264,3.1131514,22.8220630,-0.3850287,-0.4126460,15.0082966,11.2598357,1.6699083,39.3942363,None,None
6.8,3.7266599,4.1093150,20.5979578,-0.4487115,-0.6713585,13.1452587,6.4838287,-2.3279579,34.2383635,None,None
6.8,4.1576803,5.4935459,18.9034054,-0.6096372,-1.0385931,11.5253120,3.2524537,-2.2685604,28.9419611,4.07,5.50
6.9,5.0677144,7.3850852,17.9259497,-0.8914597,-1.6098805,10.1327018,1.1100914,-2.0847495,25.1155669,None,None
6.9,6.4887606,9.8622183,18.0178316,-1.3556623,-2.5304080,8.9756787,-0.1010575,-1.9010288,21.9395695,None,None
7.0,8.4231376,12.7280543,19.7310312,-2.1137330,-4.0319068,8.1191273,-0.8184499,-1.9937325,19.2455642,None,None
7.0,10.6640969,15.1050858,23.5760862,-3.3504559,-6.4731076,7.7714009,-0.1211773,-0.3430275,16.1225906,10.70,14.99
7.0,12.5541469,15.2987292,29.1035790,-5.3459052,**********,8.5001973,-0.2258744,-0.4369706,14.1132500,None,None
7.1,13.0699156,12.1790547,33.9417592,-8.4273327,**********,11.6585471,-0.3447061,-0.6207107,12.3585657,None,None
7.2,11.6873881,7.3104084,35.4156264,**********,**********,19.5563325,-0.5144287,-0.9315564,10.8313644,None,None
7.2,9.0935424,3.5322852,33.5721034,**********,**********,32.5313541,-0.2123092,-0.4847365,9.2453931,9.04,3.59
7.2,6.4807171,1.8266625,30.3033993,**********,**********,42.4092087,-0.3672073,-0.7321675,8.0995274,None,None
7.3,4.5595000,1.5560457,26.9307028,**********,-0.8549675,41.4575378,-0.5962590,-1.1692972,7.1097206,None,None
7.4,3.4523159,1.9729325,23.8859741,-6.5740206,4.1490297,35.4209993,-0.9672394,-1.9120701,6.2780032,None,None
7.4,3.0213323,2.7232357,21.2508919,-2.1064950,4.9789644,30.0919004,-1.1208505,-2.3413281,5.3849778,3.00,2.78
7.5,3.1139220,3.7574378,19.0559876,0.6429856,4.7802857,26.2010204,-1.9017310,-3.8825591,4.9305698,None,None
7.5,3.6557476,5.1854133,17.3786036,2.2624034,4.8147251,23.2727612,-3.1967786,-6.5119638,4.9286994,None,None
7.5,4.6618477,7.1843972,16.4060839,3.3733233,5.4088189,21.0466390,-5.3539531,**********,6.0342131,None,None
7.6,6.2084398,9.8967477,16.5270951,4.4133330,6.6290070,19.5151628,-6.8489787,**********,8.5758356,5.96,9.80
7.7,8.3491131,13.1769023,18.4134498,5.6605599,8.4867777,18.8586456,**********,**********,14.6234251,None,None
7.7,10.9045979,16.0544956,22.8031523,7.2704170,10.8860412,19.4420619,**********,**********,26.9969443,None,None
7.8,13.1263381,16.3909918,29.3432141,9.2342291,13.3737327,21.7412059,**********,**********,40.8301845,None,None
7.8,13.7289625,12.5986028,35.0918929,11.2337398,14.8376594,25.9050802,**********,-1.4859760,42.6892644,13.63,12.58
7.9,12.0331703,6.7341961,36.6099549,12.5357328,13.8396675,30.8499397,-7.0127760,4.4499935,36.5056678,None,None
7.9,8.9502401,2.4605999,34.2199124,12.3439174,10.2481442,34.1627921,-2.1849810,5.5355606,30.8949161,None,None
8.0,5.9577443,0.7275539,30.4498181,10.6090624,6.0869834,34.2892266,0.8171842,5.3342264,26.9039340,None,None
8.0,3.8261256,0.5281400,26.7726582,8.1856916,3.3482473,32.0258172,2.4101568,5.0939456,24.0783945,3.75,0.67
8.1,2.6038919,0.9305489,23.5325477,6.0136459,2.3046368,28.9238893,3.5559436,5.6076331,21.8256184,None,None
8.1,2.0707012,1.5392862,20.7253370,4.5365383,2.3364672,25.8623721,4.5829632,6.7334814,20.2757555,None,None
8.2,2.0174549,2.2990769,18.3180247,3.7828842,2.9235117,23.1313821,5.7785772,8.4620393,19.5851825,None,None
8.2,2.3333489,3.3132153,16.3134384,3.6342151,3.8639806,20.8221654,6.8072252,9.9786522,20.3145300,2.45,3.15
8.2,3.0106089,4.7674814,14.7778883,3.9902205,5.1752332,19.0201874,8.5145418,12.1249094,21.7669006,None,None
8.3,4.1306109,6.9049784,13.9025380,4.8218628,6.9756348,17.8906202,10.3125642,13.7275774,24.8220561,None,None
8.3,5.8411488,9.9623019,14.1298832,6.1596760,9.3697728,17.7532481,11.7120431,13.6514824,28.9242089,None,None
8.4,8.2797359,13.8899096,16.3230156,8.0260680,12.2421691,19.1382028,12.0445991,11.3341030,32.3733130,8.40,13.93
8.4,11.3198601,17.5837860,21.6242732,10.2739688,14.8647273,22.6283095,11.0278162,7.8385842,33.5547630,None,None
8.5,14.0597910,18.1027564,29.8870668,12.3336318,15.6138823,28.0599825,9.1125435,4.9326146,32.3393440,None,None
8.6,14.7366363,13.0150442,37.0730004,13.1836622,13.0213605,33.3585863,7.1030086,3.4353863,29.8429682,None,None
8.6,12.4296486,5.4779080,38.3875195,12.1066387,8.1479630,35.5614509,5.8638952,3.5246105,27.0058252,12.27,5.53
8.7,8.5310028,0.6010068,34.9786352,9.5957524,3.9647431,34.1479325,5.0130928,3.9348240,24.5617864,None,None
8.7,4.9857836,-1.0236788,30.5003330,6.8723472,1.8953855,30.9543055,4.7617495,4.8086612,22.4795336,None,None
8.8,2.5812452,-1.0897500,26.5010119,4.7788170,1.4354293,27.5140116,5.0385426,6.0836654,20.9098053,None,None
8.8,1.2031191,-0.7674492,23.1124951,3.5178134,1.7670123,24.3756083,5.3102895,7.0894575,20.1600074,1.24,-0.92
8.8,0.4911868,-0.4881353,20.2036985,2.9674498,2.4579721,21.6441950,6.4124287,9.0435207,19.8523149,None,None
8.9,0.1421298,-0.3371736,17.6760578,2.9615051,3.4153746,19.3425888,7.9265186,11.3111982,20.8008352,None,None
9.0,-0.0348990,-0.2977329,15.4689692,3.4057779,4.7292413,17.5281574,9.7142446,13.3446586,23.3469995,None,None
9.0,-0.1459010,-0.3457143,13.5394411,4.2990150,6.5741792,16.3522387,10.4711102,12.8113327,27.3434903,-0.14,-0.27
9.1,-0.2495489,-0.4768431,11.8531616,5.7127950,9.1247140,16.1446706,11.2109075,11.7202349,30.2614441,None,None
9.1,-0.3852055,-0.7130835,10.3823446,7.7273273,12.3577417,17.5170316,10.9351335,9.3615199,32.0137612,None,None
9.2,-0.5919655,-1.1086534,9.1069891,10.2590498,15.5733147,21.2819486,9.7592155,6.8133969,31.9327060,None,None
9.2,-0.9240687,-1.7639250,8.0206433,12.7269246,16.8402195,27.5700237,7.6814182,4.3675447,30.3474431,-0.91,-1.86
9.2,-1.4682835,-2.8520043,7.1473342,13.8877874,14.0134493,34.0697983,6.2180391,3.7687423,27.8475697,None,None
9.3,-2.3681326,-4.6602417,6.5889455,12.7225472,8.1452571,36.8590497,5.2761318,3.9671431,25.3873948,None,None
9.3,-3.8559993,-7.6307211,6.6535815,9.7762705,3.1483594,35.1657836,4.9002969,4.6879240,23.2311972,None,None
9.4,-6.2714955,**********,8.1717608,6.5908830,0.8186591,31.4693525,4.0982590,4.4902302,21.5082967,-6.11,-12.27
9.5,-9.9428295,**********,13.0405672,4.1796748,0.3481036,27.6630135,4.5194886,5.8116084,19.8522396,None,None
9.5,**********,**********,23.8198893,2.7238083,0.6533568,24.2821330,5.3956239,7.6171289,18.9240489,None,None
9.6,**********,**********,38.0788153,2.0222513,1.2046210,21.3496288,6.7473336,9.9291932,19.0535458,None,None
9.6,**********,-6.8020604,44.1277331,1.8398282,1.8793723,18.8204910,7.2133471,10.6314232,20.3405798,-15.70,-6.79
9.7,-9.9599026,2.7446736,39.6146803,2.0317616,2.7474283,16.6775907,9.0289657,12.7960519,22.2910068,None,None
9.7,-4.2034972,5.5701944,33.2515043,2.5589187,3.9702937,14.9529701,10.8382475,14.1016473,25.8617910,None,None
9.8,-0.3068937,5.6504883,28.5542034,3.4753139,5.7745420,13.7694246,12.0467211,13.3708052,30.1544487,None,None
9.8,1.9872486,5.4616663,25.2388764,4.9132744,8.4272894,13.4380870,11.5588315,9.8641135,32.9990054,1.71,5.33
9.8,3.3964801,5.7511554,22.8066298,7.0443968,12.0877462,14.6315571,10.1781608,6.5909819,33.0684648,None,None
9.9,4.4958825,6.6581630,21.1077732,9.9254652,16.2692118,18.4923840,8.2421563,4.3393774,31.2516405,None,None
***,5.6495710,8.1673029,20.2318495,13.0726194,18.7915582,25.8717665,6.4696919,3.4083036,28.6436881,None,None
***,7.0540510,10.1673391,20.4362461,14.9679765,16.1546412,34.5959440,5.4928120,3.7908241,26.0030647,7.12,10.24
***,8.7400028,12.3034622,22.0666009,13.9160439,8.6781677,38.9304517,4.9373482,4.3988064,23.7371955,None,None
***,10.4945917,13.7678994,25.2634817,10.3290843,2.0402568,37.0237232,4.9326775,5.4327563,21.8947924,None,None
***,11.7884346,13.4510074,29.3546910,6.3342422,-0.8847839,32.5488157,5.4227795,6.8736040,20.6415070,None,None
***,11.9703927,10.9505983,32.6105132,3.3327966,-1.4256947,28.2107631,6.5829754,8.9933390,20.3364822,12.02,10.91
***,10.8266878,7.4646165,33.4856358,1.5016885,-1.1917179,24.5438796,7.9867259,11.1417141,21.2414421,None,None
***,8.8754486,4.7190302,32.0740210,0.5051473,-0.9123906,21.4333467,9.6518788,13.0257462,23.6279556,None,None
***,6.9109341,3.3819211,29.5209346,-0.0207603,-0.7908984,18.7494510,11.1788246,13.6900585,27.3039309,None,None
***,5.4477478,3.1649013,26.7520030,-0.3307058,-0.8507479,16.4162440,11.5494131,11.7442717,30.9120567,5.64,3.18
***,4.6308770,3.6252809,24.1933572,-0.5806627,-1.0928130,14.3878767,11.0619117,8.9859340,32.6040194,None,None
***,4.4140555,4.5245416,22.0212524,-0.8717384,-1.5516542,12.6365861,9.6356355,6.2302933,32.2070706,None,None
***,4.7201638,5.8211457,20.3664168,-1.2904051,-2.3190560,11.1563516,7.8843066,4.4838461,30.3413783,None,None
